"ID","Label","DRS","Título","Fase Plano São Paulo","Data   Plano","Endereço","Latitude","Longitude","R Efetivo","Casos","Óbitos","Data Base Sivep"
1,"I","Grande São Paulo","I<br>Grande São Paulo<br>2",2,"19 de junho de 2020","Rua Conselheiro Crispiniano, 20 - São Paulo, 01037-000",-23.5446782,-46.6386066,0.888268531897067,46081,12262,"2020_07_07"
2,"II","Araçatuba","II<br> Araçatuba<br>2",2,"19 de junho de 2020","Rua Oscar Rodrigues Alves, 1296 - Araçatuba, 16015-030",-21.2077232,-50.4308303,1.18643072491219,352,75,"2020_07_07"
3,"III","Araraquara","III<br>Araraquara<br>2",2,"19 de junho de 2020","Avenida Espanha, 188 -  Araraquara, 14801-130",-23.9836695,-46.3068302,1.03117193379614,236,43,"2020_07_07"
4,"IV","Baixada Santista","IV<br>Baixada Santista<br>2",2,"19 de junho de 2020","Avenida Epitácio Pessoa, 415 -  Baixada Santista, 11030-601",-23.9836695,-46.3068302,0.928713645425081,2827,969,"2020_07_07"
5,"V","Barretos","V<br>Barretos<br>1",1,"19 de junho de 2020","Avenida 21, 1238 - Barretos, 14780-310",-20.5572236,-48.5677786,0.877414063184193,263,73,"2020_07_07"
6,"VI","Bauru","VI<br>Bauru<br>2",2,"19 de junho de 2020","Rua Quintino Bocaiúva, 545 - Bauru, 17015-100",-22.3369538,-49.0775083,1.09551515108296,856,172,"2020_07_07"
7,"VII","Campinas","VII<br>Campinas<br>2",2,"19 de junho de 2020","Rua José Paulino, 1399 - Campinas, 13013-001",-22.7969588,-47.1341203,0.874896402064572,3986,1006,"2020_07_07"
8,"VIII","Franca","VIII<br>Franca<br>2",2,"19 de junho de 2020","Avenida Wilson Sábio de Melo, 1833 - Franca, 14404-602",-20.549426,-47.4060921,1.02389928759176,127,32,"2020_07_07"
9,"IX","Marília","IX<br>Marília<br>1",1,"19 de junho de 2020","Rua Quinze de Novembro, 1151 - Marília, 17504-100",-22.216233,-49.9519755,1.08166672165928,342,62,"2020_07_07"
10,"X","Piracicaba","X<br>Piracicaba<br>2",2,"19 de junho de 2020","Rua do Trabalho, 602 - Piracicaba, 13418-220",-22.7191774,-47.6318722,1.02497441389444,989,240,"2020_07_07"
11,"XI","Presidente Prudente","XI<br>Presidente Prudente<br>1",1,"19 de junho de 2020","Avenida Cel. José Soares Marcondes, 2357 - Presidente Prudente, 19013-050",-22.1366613,-51.3958605,1.06457823218542,363,62,"2020_07_07"
12,"XII","Registro","XII<br>Registro<br>1",1,"19 de junho de 2020","Rua Pariquera-açu, 41 - Registro, 11900-000",-24.5017,-47.8,0.985792423512447,140,42,"2020_07_07"
13,"XIII","Ribeirão Preto","XIII<br>Ribeirão Preto<br>1",1,"19 de junho de 2020","Avenida Independência, 4770 - Ribeirão Preto, 14026-160",-21.212124,-47.828162,1.13387484803233,1243,279,"2020_07_07"
14,"XIV","São João da Boa Vista","XIV<br>São João da Boa Vista<br>2",2,"19 de junho de 2020","Rua Dr. Teófilo Ribeiro Andrade, 869 - Jardim Santa Adélia, São João da Boa Vista, 13870-210",-21.965688,-46.794484,1.02974155640478,310,68,"2020_07_07"
15,"XV","São José do Rio Preto","XV<br>São José do Rio Preto<br>2",2,"19 de junho de 2020","Rua Doutor Jânio Quadros, 150 - Distrito Ulysses Guimarães, São Josédo Rio Preto, 15092-602",-20.828726,-49.423348,1.3415331709432,1294,254,"2020_07_07"
16,"XVI","Sorocaba","XVI<br>Sorocaba<br>2",2,"19 de junho de 2020","Avenida Comendador Pereira Inácio,105 - Sorocaba, 18031-000",-23.507021,-47.455417,0.824223264002163,1632,357,"2020_07_07"
17,"XVII","Taubaté","XVII<br>Taubaté<br>2",2,"19 de junho de 2020","Avenida Assis Chateaubriand, 359 - Bel Recanto, Taubaté, 12031-230",-23.041698,-45.583027,1.17043622213572,1212,248,"2020_07_07"
