Data,05/06/20,29/05/20,26/05/20,25/05/20,21/05/20,18/05/20,12/05/20,08/05/20,07/05/20,03/05/20,02/05/20,29/04/20,27/04/20,23/04/20,22/04/20,20/04/20,19/04/20,17/04/20,16/04/20,15/04/20,14/04/20,13/04/20,11/04/20,10/04/20,08/04/20,07/04/20,06/04/20,05/04/20,04/04/20,02/04/20,30/03/20,29/03/20
15/03/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
16/03/2020,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
17/03/2020,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
18/03/2020,8,8,8,8,8,8,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
19/03/2020,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
20/03/2020,17,16,16,16,16,16,15,15,14,14,14,14,13,12,12,11,11,11,11,10,9,9,9,9,8,8,8,8,8,7,6,6
21/03/2020,13,15,15,15,15,15,14,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9
22/03/2020,19,20,20,20,20,17,17,17,17,17,17,16,16,15,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,10,8,8
23/03/2020,37,38,37,37,37,37,37,37,37,37,37,37,34,31,30,29,29,29,28,27,27,27,27,27,24,20,20,20,18,17,15,12
24/03/2020,35,37,36,36,36,36,34,34,34,31,31,31,29,29,29,27,27,27,27,26,25,23,23,23,22,20,18,17,17,17,12,12
25/03/2020,38,39,38,38,38,36,35,33,33,32,32,32,29,29,28,27,27,27,26,26,25,25,25,25,25,24,21,21,20,17,14,13
