"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-05-14,2
9,9,10,2020-05-15,9
2,2,3,2020-05-16,2
5,5,6,2020-05-17,5
1,1,2,2020-05-18,1
2,2,3,2020-05-19,2
4,4,5,2020-05-20,4
3,3,4,2020-05-21,3
0,0,1,2020-05-22,NA
1,1,2,2020-05-23,1
0,0,1,2020-05-24,NA
1,1,2,2020-05-25,1
1,1,2,2020-05-26,1
0,0,1,2020-05-27,NA
2,2,3,2020-05-28,2
1,1,2,2020-05-29,1
0,0,1,2020-05-30,NA
1,1,2,2020-05-31,1
3,3,4,2020-06-01,3
3,3,5,2020-06-02,3
1,1,3,2020-06-03,1
1,1,3,2020-06-04,1
1,1,3,2020-06-05,1
2,2,4,2020-06-06,2
2,2,4,2020-06-07,2
1,1,3,2020-06-08,1
1,1,4,2020-06-09,1
3,2,5,2020-06-10,2
1,0,3,2020-06-11,NA
2,1,5,2020-06-12,1
1,0,4,2020-06-13,NA
2,1,6,2020-06-14,1
2,0,6,2020-06-15,NA
2,0,7,2020-06-16,NA
2,0,8,2020-06-17,NA
3,1,11,2020-06-18,1
2,0,10,2020-06-19,NA
2,0,12,2020-06-20,NA
2,0,12,2020-06-21,NA
2,0,13,2020-06-22,NA
